Resource Title,Resource URL,Publisher,Country,,Description,First L2 Tag,Second L2 Tag,Third L2 Tag,Vetter,Reviewed?,L2 Tagger,Technical (Y/N),Notes
,https://www.astrazeneca.com/content/astraz/media-centre/press-releases/2021/update-on-the-safety-of-covid-19-vaccine-astrazeneca.html#!,www.astrazeneca.com,Unknown,,6 days ago ... ,,,,Bot,,,,
Moderna Files for Emergency Use Authorization for its COVID-19 ...,https://investors.modernatx.com/news-releases/news-release-details/moderna-files-emergency-use-authorization-its-covid-19-vaccine/,investors.modernatx.com,Unknown,,"19 hours ago ... Submission based on Phase 2/3 study of mRNA-1273 in adolescents ages 12 to 
less than 18 in the U.S.. CAMBRIDGE, Mass. --(BUSINESS WIRE)--Jun.",,,,Bot,,,,
"0001127602-21-019511 | 3 | Moderna, Inc.",https://investors.modernatx.com/sec-filings/sec-filing/3/0001127602-21-019511,investors.modernatx.com,Unknown,,"1 day ago ... Initial filing by director officer or owner of more than ten percent. Filing Group. 3,4,
5. Company. Moderna, Inc. Issuer. Moderna, Inc. Filer. KLINGER SHANNON ...",,,,Bot,,,,
BNT162b2-elicited neutralization of B.1.617 and other SARS-CoV-2 ...,https://www.nature.com/articles/s41586-021-03693-y?fbclid=IwAR2ps52Q7YIbLiWysMVwRgih2dfl5jWCjC6ITE08cROyydCVnRQwuL_bw5g,Nature,General,"6/9/2021, 5:00:00 PM","3 hours ago ... ... to BNT162b2 vaccine-elicited neutralization supports mass immunization as a 
central strategy to end the coronavirus disease 2019 (COVID-19) pandemic ...",,,,Bot,,,,
COVID vaccines grow on leaves | Nature Biotechnology,http://feeds.nature.com/~r/nbt/rss/current/~3/eevDvCszWCI/s41587-021-00961-0,feeds.nature.com,Unknown,"6/9/2021, 5:00:00 PM","1 day ago ... In the randomized, placebo controlled trial, after two doses of the vaccine, known 
as CoVLP, generated neutralizing antibody responses that were about ten times
 ...",,,,Bot,,,,
Severe COVID-19 outcomes — the role of physical activity | Nature ...,https://www.nature.com/articles/s41574-021-00521-1,Nature,General,"6/9/2021, 5:00:00 PM","15 hours ago ... COVID-19 has been described as a syndemic of COVID-19 and chronic diseases
. Obesity has been identified as a contributing factor to morbidity and mortality ...",,,,Bot,,,,
The pioneer behind southeast Asia's first mRNA COVID vaccine,https://media.nature.com/original/magazine-assets/d41586-021-01426-9/d41586-021-01426-9.pdf,media.nature.com,Unknown,,"1 day ago ... of its first mRNA COVID-19 vaccine. If it is successful, the country could emerge 
as an important supplier of mRNA vaccines in Asia, making it a small but ...",,,,Bot,,,,
Community-level evidence for SARS-CoV-2 vaccine protection of ...,https://www.nature.com/articles/s41591-021-01407-5?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+nm%2Frss%2Fcurrent+%28Nature+Medicine+-+Issue%29,Nature,General,"6/9/2021, 5:00:00 PM","21 hours ago ... Mass vaccination has the potential to curb the current COVID-19 pandemic by 
protecting individuals who have been vaccinated against the disease and ...",,,,Bot,,,,
Viral infiltration of pancreatic islets in patients with COVID-19 ...,https://www.nature.com/articles/s41467-021-23886-3,Nature,General,"6/9/2021, 5:00:00 PM","19 hours ago ... Metabolic diseases are associated with an increased risk of severe COVID-19 
and conversely, new-onset hyperglycemia and complications of preexisting ...",,,,Bot,,,,
Does vaccinating adults stop kids from spreading COVID too?,https://www.nature.com/articles/d41586-021-01549-z,Nature,General,"6/9/2021, 5:00:00 PM","1 day ago ... Mass vaccination drives in several countries are providing new data on the extent 
to which adult vaccination protects children — but the conclusions are mixed.",,,,Bot,,,,
Transcriptomics-based drug repositioning pipeline identifies ...,https://www.nature.com/articles/s41598-021-91625-1,Nature,General,"6/9/2021, 5:00:00 PM","21 hours ago ... Each of these signatures was contrasted with drug profiles of differential gene 
expression from CMap. Figure 1. figure1. COVID-19 transcriptomics-based ...",,,,Bot,,,,
Strengthened health systems are needed to tackle COVID-19 in ...,https://www.nature.com/articles/s41591-021-01395-6,Nature,General,"6/9/2021, 5:00:00 PM","16 hours ago ... The reality is that the vaccines against COVID-19 that have been secured 
through the COVAX program, currently being received in Africa, do not fall into 
any of ...",,,,Bot,,,,
Obesity and mortality in critically ill COVID-19 patients with ...,https://www.nature.com/articles/s41366-021-00872-9,Nature,General,"6/9/2021, 5:00:00 PM","18 hours ago ... Patients with obesity are at increased risk of severe COVID-19, requiring 
mechanical ventilation due to acute respiratory failure. However, conflicting data 
are ...",,,,Bot,,,,
LESSONS LEARNED FROM THE COVID-19 PANDEMIC,https://media.nature.com/original/magazine-assets/d42473-021-00253-w/d42473-021-00253-w.pdf,media.nature.com,Unknown,,"2 days ago ... pandemic began to sweep across the world, working with a team of scientists on 
the Oxford-AstraZeneca vaccine. Through his work with the largest academic ...",,,,Bot,,,,
Incidence of Multisystem Inflammatory Syndrome in Children Among ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2780861,JAMA,US,,"16 hours ago ... We estimated denominators for MIS-C incidence per SARS-CoV-2 infection 
among persons younger than 21 years based on COVID-19 cases reported 
during ...",,,,Bot,,,,
Bilateral Chilblain-like Lesions of the Toes Characterized by ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2780866,JAMA,US,,"14 hours ago ... Conclusions and Relevance This study delineated the clinical, histologic, and 
laboratory features of chilblain-like lesions that emerged during the COVID-19 ...",,,,Bot,,,,
Attitudes and Factors Associated With COVID-19 Vaccine Hesitancy ...,https://jamanetwork.com/journals/jamaoncology/fullarticle/10.1001/jamaoncol.2021.1962?guestAccessKey=8716f8b1-300f-49b4-be0c-ee2d9ff191a6&utm_source=For_The_Media&utm_medium=referral&utm_campaign=ftm_links&utm_content=tfl&utm_term=061021,JAMA,US,"6/10/2021, 12:00:00 AM","16 hours ago ... This cross-sectional survey study evaluates the specific concerns of and high 
hesitancy rate toward COVID-19 vaccination among women with breast cancer in
 ...",,,,Bot,,,,
COVID-19 대응 계획 상태 및 유람선 색상 등급,https://korean.cdc.gov/coronavirus/2019-ncov/travelers/crew-disembarkations-commercial-travel.html,korean.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","1일 전 ... 이 웹페이지는 상업적 운송 수단을 이용하는 승무원이 하선할 때 필요한 크루즈 
선박 대응 계획에 관한 기준과 상태를 설명합니다.",,,,Bot,,,,
Covid-19: pregnant and recently pregnant people,https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/pregnant-people.html,CDC,US,"2/10/2020, 4:00:00 PM","1 day ago ... Effect on Pregnancy Outcomes. Pregnant people with COVID-19 are at increased 
risk for preterm birth2,5 (delivering the baby earlier than 37 weeks) and ...",,,,Bot,,,,
Population Connectivity Across Borders (PopCAB) Toolkit | CDC,https://www.cdc.gov/coronavirus/2019-ncov/global-covid-19/popcab-toolkit.html,CDC,US,"2/10/2020, 4:00:00 PM","12 hours ago ... Understanding these patterns of movement can help inform preparedness and 
response strategies for communicable diseases, including COVID-19.",,,,Bot,,,,
Impact of the COVID-19 Pandemic on Administration of Selected ...,https://www.cdc.gov/mmwr/volumes/70/wr/mm7023a2.htm?s_cid=mm7023a2_e&ACSTrackingID=USCDC_921-DM59143&ACSTrackingLabel=This%20Week%20in%20MMWR%20-%20Vol.%2070%2C%20June%2011%2C%202021&deliveryName=USCDC_921-DM59143,CDC,US,"12/31/2020, 4:00:00 PM","13 hours ago ... To prevent outbreaks of vaccine-preventable diseases, health care providers 
should assess the vaccination status of all pediatric patients, including 
adolescents, ...",,,,Bot,,,,
What's New - STLT Gateway - CDC,https://www.cdc.gov/publichealthgateway/whatsnew.html,CDC,US,Invalid Date,"2 days ago ... State-level surveillance can identify disparities among AI/AN or other minority 
communities to inform state and tribal COVID-19 vaccine allocation strategies 
and ...",,,,Bot,,,,
Vacunas contra el COVID-19 durante el embarazo y el periodo de ...,https://espanol.cdc.gov/coronavirus/2019-ncov/vaccines/recommendations/pregnancy.html,espanol.cdc.gov,Unknown,"6/8/2021, 5:00:00 PM","Hace 2 días ... Las personas embarazadas o en periodo de lactancia pueden vacunarse contra 
el COVID-19, pero existen muchas consideraciones que pueden influir en esa ...",,,,Bot,,,,
Figure 5 - Multicenter Epidemiologic Study of Coronavirus Disease ...,https://wwwnc.cdc.gov/eid/article/27/9/21-0934-f5.pptx,wwwnc.cdc.gov,Unknown,,"2 days ago ... Waterfall plot showing the number of days between the diagnosis of coronavirus 
disease (COVID-19) and COVID-19–associated mucormycosis (CAM). Each ...",,,,Bot,,,,
COVID-19 Vaccines While Pregnant or Breastfeeding,https://www.cdc.gov/coronavirus/2019-ncov/vaccines/recommendations/pregnancy.html,CDC,US,"6/8/2021, 5:00:00 PM","2 days ago ... Johnson & Johnson's Janssen COVID-19 Vaccine: The Centers for Disease 
Control and Prevention (CDC) and the US Food and Drug Administration (FDA) ...",,,,Bot,,,,
Older Adults and COVID-19 | CDC,https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/older-adults.html,CDC,US,"2/10/2020, 4:00:00 PM","2 days ago ... Older adults are at higher risk for severe illness from COVID-19. Take steps to 
protect older adults during the COVID-19 pandemic.",,,,Bot,,,,
Excess Deaths Associated with COVID-19,https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm,CDC,US,"6/8/2021, 8:53:46 PM","2 days ago ... This visualization provides weekly estimates of excess deaths by the jurisdiction 
in which the death occurred. Weekly counts of deaths are compared with 
historical ...",,,,Bot,,,,
无家可归者服务机构计划和应对2019年新型冠状病毒肺炎（COVID ...,https://chinese.cdc.gov/coronavirus/2019-ncov/community/homeless-shelters/plan-prepare-respond.html,chinese.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","3 days ago ... COVID-19视频、社交媒体、公共服务通告（PSAs）、影印文件和网络资源、检查
清单以及常见问答，帮助院校和大学保护学生和教职工.",,,,Bot,,,,
惩教和拘留机构的COVID-19资源清单| CDC,https://chinese.cdc.gov/coronavirus/2019-ncov/community/list-covid-19-resources-for-correctional-and-detention-facilities.html,chinese.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","3 days ago ... 何时使用？ 向被拘禁人员分发有关COVID-19以及如何预防感染的信息时. 从何处
找到？",,,,Bot,,,,
Key Information for Travelers to Russia - COVID-19 Notices,https://wwwnc.cdc.gov/travel/notices/covid-3/coronavirus-russia,wwwnc.cdc.gov,Unknown,,"3 days ago ... Make sure you are fully vaccinated before traveling to Russia. Unvaccinated 
travelers should avoid nonessential travel to Russia.",,,,Bot,,,,
Key Information for Travelers to Iran - COVID-19 Notices,https://wwwnc.cdc.gov/travel/notices/covid-3/covid-19-iran,wwwnc.cdc.gov,Unknown,,"3 days ago ... Make sure you are fully vaccinated before traveling to Iran. Unvaccinated 
travelers should avoid nonessential travel to Iran.",,,,Bot,,,,
Key Information for Travelers to Italy - COVID-19 Notices,https://wwwnc.cdc.gov/travel/notices/covid-3/covid-19-italy,wwwnc.cdc.gov,Unknown,,"3 days ago ... Make sure you are fully vaccinated before traveling to Italy. Unvaccinated 
travelers should avoid nonessential travel to Italy.",,,,Bot,,,,
Key Information for Travelers to Kenya - COVID-19 Notices,https://wwwnc.cdc.gov/travel/notices/covid-2/coronavirus-kenya,wwwnc.cdc.gov,Unknown,,"3 days ago ... Make sure you are fully vaccinated before traveling to Kenya. Unvaccinated 
travelers who are at increased risk for severe illness from COVID-19 should avoid
 ...",,,,Bot,,,,
Travel Health Notices - COVID-19 in Gabon,https://wwwnc.cdc.gov/travel/notices/covid-4/coronavirus-gabon,wwwnc.cdc.gov,Unknown,,4 days ago ... Make sure you are fully vaccinated before traveling to Gabon.,,,,Bot,,,,
Travel Health Notices - COVID-19 in Denmark,https://wwwnc.cdc.gov/travel/notices/covid-4/coronavirus-denmark,wwwnc.cdc.gov,Unknown,,"4 days ago ... Make sure you are fully vaccinated before traveling to Denmark. Unvaccinated 
travelers should avoid nonessential travel to Denmark.",,,,Bot,,,,
Kit de herramientas para reducir la propagación del COVID-19 ...,https://espanol.cdc.gov/coronavirus/2019-ncov/community/election-polling-locations/elections-toolkit.html,espanol.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","Hace 4 días ... Los Centros para el Control y la Prevención de Enfermedades (CDC) han 
publicado información para centros electorales y votantes, además de consejos 
para ...",,,,Bot,,,,
COVID-19 in Saint Barthelemy - COVID-19 Low - Level 1: COVID-19 ...,https://wwwnc.cdc.gov/travel/notices/covid-1/coronavirus-saint-barthelemy,wwwnc.cdc.gov,Unknown,,"4 days ago ... Key Information for Travelers to Saint Barthelemy. Make sure you are fully 
vaccinated before traveling to Saint Barthelemy. See recommendations for fully ...",,,,Bot,,,,
Hướng Dẫn Tạm Thời về Xét Nghiệm SARS-CoV-2 tại Cơ Sở Cải ...,https://vietnamese.cdc.gov/coronavirus/2019-ncov/community/correction-detention/testing.html,vietnamese.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","4 ngày trước ... CDC đưa ra lưu ý dành cho các cơ sở cải huấn và trại giam để lập kế hoạch, 
chuẩn bị và ứng phó với COVID-19. Đọc thêm trong Hướng dẫn tạm thời.",,,,Bot,,,,
COVID-19 in the Turks and Caicos Islands - COVID-19 Low - Level 1 ...,https://wwwnc.cdc.gov/travel/notices/covid-1/coronavirus-turks-and-caicos,wwwnc.cdc.gov,Unknown,,"4 days ago ... Travel Recommendations for Fully Vaccinated Travelers · You do NOT have to 
get tested before leaving the United States, unless your destination requires it. · 
You ...",,,,Bot,,,,
Key Information for Travelers to Denmark - COVID-19 Notices,https://wwwnc.cdc.gov/travel/notices/covid-3/coronavirus-denmark,wwwnc.cdc.gov,Unknown,,"3 days ago ... Make sure you are fully vaccinated before traveling to Denmark. Unvaccinated 
travelers should avoid nonessential travel to Denmark.",,,,Bot,,,,
Key Information for Travelers to Tunisia - COVID-19 Notices,https://wwwnc.cdc.gov/travel/notices/covid-3/coronavirus-tunisia,wwwnc.cdc.gov,Unknown,,"3 days ago ... Make sure you are fully vaccinated before traveling to Tunisia. Unvaccinated 
travelers should avoid nonessential travel to Tunisia.",,,,Bot,,,,
Key Information for Travelers to Libya - COVID-19 Notices,https://wwwnc.cdc.gov/travel/notices/covid-3/coronavirus-libya,wwwnc.cdc.gov,Unknown,,"3 days ago ... Make sure you are fully vaccinated before traveling to Libya. Unvaccinated 
travelers should avoid nonessential travel to Libya.",,,,Bot,,,,
Key Information for Travelers to Senegal - COVID-19 Notices,https://wwwnc.cdc.gov/travel/notices/covid-1/coronavirus-senegal,wwwnc.cdc.gov,Unknown,,"3 days ago ... See recommendations for fully vaccinated travelers. See recommendations for 
unvaccinated travelers. Travelers should follow recommendations or 
requirements ...",,,,Bot,,,,
Key Information for Travelers to Bonaire - COVID-19 Notices,https://wwwnc.cdc.gov/travel/notices/covid-3/coronavirus-bonaire,wwwnc.cdc.gov,Unknown,,"3 days ago ... Make sure you are fully vaccinated before traveling to Bonaire. Unvaccinated 
travelers should avoid nonessential travel to Bonaire.",,,,Bot,,,,
COVID-19 in the British Virgin Islands - COVID-19 Unknown - Level ...,https://wwwnc.cdc.gov/travel/notices/covid-unknown/coronavirus-british-virgin-islands,wwwnc.cdc.gov,Unknown,,"4 days ago ... Because the current situation in the British Virgin Islands is unknown, even fully 
vaccinated travelers may be at risk for getting and spreading COVID-19 variants.",,,,Bot,,,,
Key Information for Travelers to Lebanon - COVID-19 Notices,https://wwwnc.cdc.gov/travel/notices/covid-3/coronavirus-lebanon,wwwnc.cdc.gov,Unknown,,"3 days ago ... Make sure you are fully vaccinated before traveling to Lebanon. Unvaccinated 
travelers should avoid nonessential travel to Lebanon.",,,,Bot,,,,
Bộ Công Cụ Nhằm Giảm Thiểu Sự Lây Lan Của COVID-19 Trong ...,https://vietnamese.cdc.gov/coronavirus/2019-ncov/community/election-polling-locations/elections-toolkit.html,vietnamese.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","4 ngày trước ... Trung Tâm Kiểm Soát và Phòng Ngừa Dịch Bệnh (CDC) đã đăng tải thông tin về 
địa điểm bỏ phiếu bầu cử và cử tri cũng như lời khuyên cho cử tri về cách ...",,,,Bot,,,,
Key Information for Travelers to Slovakia - COVID-19 Notices,https://wwwnc.cdc.gov/travel/notices/covid-3/coronavirus-slovakia,wwwnc.cdc.gov,Unknown,,"3 days ago ... Make sure you are fully vaccinated before traveling to Slovakia. Unvaccinated 
travelers should avoid nonessential travel to Slovakia.",,,,Bot,,,,
COVID-19 in the Bahamas - Travel Health Notices - CDC,https://wwwnc.cdc.gov/travel/notices/covid-3/coronavirus-the-bahamas,wwwnc.cdc.gov,Unknown,,"4 days ago ... Make sure you are fully vaccinated before traveling to the Bahamas. 
Unvaccinated travelers should avoid nonessential travel to the Bahamas.",,,,Bot,,,,
Interim Guidance on People Experiencing Unsheltered ...,https://www.cdc.gov/coronavirus/2019-ncov/community/homeless-shelters/unsheltered-homelessness.html,CDC,US,"2/10/2020, 4:00:00 PM","4 days ago ... Community coalition-based COVID-19 prevention and response · Local and state 
health departments · Outreach teams and street medicine providers · Homeless ...",,,,Bot,,,,
Travel Health Notices - COVID-19 in Kenya,https://wwwnc.cdc.gov/travel/notices/covid-4/coronavirus-kenya,wwwnc.cdc.gov,Unknown,,4 days ago ... Make sure you are fully vaccinated before traveling to Kenya.,,,,Bot,,,,
Cách thức xác định mức độ thông báo y tế khi du lịch về COVID-19,https://vietnamese.cdc.gov/coronavirus/2019-ncov/travelers/how-level-is-determined.html,vietnamese.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","4 ngày trước ... CDC thông báo tới du khách và độc giả về các mối đe dọa sức khỏe tại các điểm 
đến trên khắp thế giới thông qua Thông Báo Y Tế Về Du Lịch (THN). Trong khi ...",,,,Bot,,,,
운송 파트너를 위한 도로 여행 툴킷 | CDC,https://korean.cdc.gov/coronavirus/2019-ncov/travelers/transportation-toolkit.html,korean.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","4일 전 ... CDC는 운송 부서 및 협력기관이 도로 여행 중인 국내 여행자들에게 COVID-19 예방 
메시지를 전달하는 데 도움을 드리기 위해 이 도로 여행 툴킷을 제작했습니다.",,,,Bot,,,,
Caring for Employees During the COVID-19 Pandemic | Johnson ...,https://www.jnj.com/covid-19/caring-for-employees,www.jnj.com,Unknown,,"3 days ago ... See how Johnson & Johnson is committed to remaining on the frontlines during 
the coronavirus pandemic and how we are supporting and ensuring the safety of
 ...",,,,Bot,,,,
,https://www.astrazeneca.com/content/astraz/media-centre/press-releases/2021/update-on-the-safety-of-covid-19-vaccine-astrazeneca.html#!,www.astrazeneca.com,Unknown,,"Jun 4, 2021 ... ",,,,Bot,,,,
Moderna and Tabuk Pharmaceuticals Partner to Commercialize ...,https://investors.modernatx.com/news-releases/news-release-details/moderna-and-tabuk-pharmaceuticals-partner-commercialize-modernas,investors.modernatx.com,Unknown,,"19 hours ago ... Under the terms of this agreement, Tabuk Pharmaceuticals will hold the 
marketing authorization for the Moderna COVID-19 vaccine in Saudi Arabia . 
Beyond the ...",,,,Bot,,,,
CEO Investor Forum Presentation,https://investors.modernatx.com/static-files/892b4043-6ba2-4f9f-9bcd-efee7371c8f7,investors.modernatx.com,Unknown,,"4 days ago ... The Moderna COVID-19 Vaccine may not protect all vaccine recipients. • Adverse 
reactions reported in a clinical trial following administration of the Moderna ...",,,,Bot,,,,
Global crime trends during COVID-19 | Nature Human Behaviour,https://www.nature.com/articles/s41562-021-01151-3,Nature,General,"6/10/2021, 5:00:00 PM","1 hour ago ... The COVID-19 pandemic has provided a natural experiment capable of 
answering a vital question: have stay-at-home orders impacted global crime 
trends?",,,,Bot,,,,
Coronapod: counting the cost of long COVID,http://feeds.nature.com/~r/nature/rss/current/~3/NiTqfO2FRRU/d41586-021-01603-w,feeds.nature.com,Unknown,"6/10/2021, 5:00:00 PM","3 hours ago ... The global burden of COVID-19 has predominantly been measured using metrics 
like case numbers, hospitalisations and deaths. But the long term health ...",,,,Bot,,,,
The major genetic risk factor for severe COVID-19 does not show ...,https://www.nature.com/articles/s41598-021-91711-4,Nature,General,"6/10/2021, 5:00:00 PM","22 hours ago ... With the growing evidence on the variable human susceptibility against COVID-
19, it is evident that some genetic loci modulate the severity of the infection.",,,,Bot,,,,
Safeguarding dialysis services during the COVID-19 pandemic ...,https://www.nature.com/articles/s41581-021-00448-w,Nature,General,"6/10/2021, 5:00:00 PM","22 hours ago ... Transport services collapsed, which not only prevented patients from reaching 
dialysis centres but also caused shortages of dialysis consumables, medicines 
and ...",,,,Bot,,,,
Diagnosis of COVID-19 in children guided by lack of fever and ...,https://www.nature.com/articles/s41390-021-01585-5,Nature,General,"6/10/2021, 5:00:00 PM","17 hours ago ... We review the data of children who were tested for SARS-CoV-2 for a suspected 
infection. We compared the clinical characteristics of the subjects who tested ...",,,,Bot,,,,
Six mentoring tips as we enter year two of COVID,https://www.nature.com/articles/d41586-021-01598-4,Nature,General,"6/10/2021, 5:00:00 PM","15 hours ago ... As the world recovers, students still need help to get back on track, say Ruth 
Gotian and Christine Pfund.",,,,Bot,,,,
Effect of specific non-pharmaceutical intervention policies on SARS ...,https://www.nature.com/articles/s41467-021-23865-8,Nature,General,"6/10/2021, 5:00:00 PM","22 hours ago ... Fig. 1: Confirmed COVID-19 cases and reproduction numbers (Reff) in the United 
States. figure1.",,,,Bot,,,,
Safeguarding dialysis services during the COVID-19 pandemic ...,https://www.nature.com/articles/s41581-021-00448-w?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+nrneph%2Frss%2Fcurrent+%28Nature+Reviews+Nephrology+-+Issue%29,Nature,General,"6/10/2021, 5:00:00 PM","21 hours ago ... The shortages in consumables and staff forced some dialysis centres to shut 
down, further burdening the health-care system, especially public hospitals. 
Patients ...",,,,Bot,,,,
International Medical Graduate Physician Deaths From COVID-19 in ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2780929,JAMA,US,"6/1/2021, 12:00:00 AM","16 hours ago ... Physicians are among the many who have died of this infection. International 
medical graduates (IMGs) constitute 25% of practicing physicians in the US and 
often ...",,,,Bot,,,,
Association Between SARS-CoV-2 Infection and Immune-Mediated ...,https://jamanetwork.com/journals/jamaneurology/fullarticle/2781013,JAMA,US,,"16 hours ago ... This case-control autopsy series aims to identify differences in skeletal muscle 
and myocardial inflammation in patients who died with COVID-19 vs other ...",,,,Bot,,,,
Further Evidence Supporting the Use of Prophylactic ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2780931,JAMA,US,"6/1/2021, 12:00:00 AM","16 hours ago ... The study included 1351 patients with COVID-19 and evaluated in-hospital 
mortality and 60-day mortality based on anticoagulation strategy, as well as ...",,,,Bot,,,,
International Analysis of Electronic Health Records of Children and ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/10.1001/jamanetworkopen.2021.12596?utm_source=For_The_Media&utm_medium=referral&utm_campaign=ftm_links&utm_term=061121,JAMA,US,,"16 hours ago ... This cohort study aims to describe international hospitalization trends and key 
epidemiological and clinical features of children and youth with COVID-19.",,,,Bot,,,,
Factors Associated With Self-reported Symptoms of Depression ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2780928,JAMA,US,,"16 hours ago ... This survey study compares features of self-reported symptoms of major 
depression in adults with or without a prior COVID-19 diagnosis.",,,,Bot,,,,
On the Usage of Combined Data Structures to Study COVID-19 in ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2780930,JAMA,US,"6/1/2021, 12:00:00 AM","16 hours ago ... In Bourgeois et al, the authors demonstrate the utility of electronic health record (
EHR) data structures to systematically study an otherwise understudied popu.",,,,Bot,,,,
CDC Estimates Thousands of Excess Deaths Among US Patients ...,https://jamanetwork.com/journals/jama-health-forum/articlepdf/2781027/stephenson_2021_nw_210030_1623089809.00972.pdf,JAMA,US,,"4 days ago ... Renal Disease During COVID-19 Pandemic's Early Months. Joan Stephenson, 
PhD. The early months of the COVID-19 pandemic in the United States appear to
 ...",,,,Bot,,,,
Pathologic Antibodies to Platelet Factor 4 after ChAdOx1 nCoV-19 ...,https://www.nejm.org/doi/full/10.1056/NEJMoa2105385,New England Journal of Medicine,General,"4/15/2021, 5:00:00 PM","2 days ago ... Abstract Background The mainstay of control of the coronavirus disease 2019 (
Covid-19) pandemic is vaccination against severe acute respiratory syndrome ...",,,,Bot,,,,
CDC Library: COVID-19 Science Update: 06/11/2021,https://www.cdc.gov/library/covid19/06112021_covidupdate.html,CDC,US,"6/10/2021, 5:00:00 PM","11 hours ago ... Cumulative incidence of SARS-CoV-2 infection was significantly lower among 
previously infected persons compared with those with no prior infection (HR 0.06, 
95 ...",,,,Bot,,,,
"Webinar June 17, 2021 - Evaluating and Caring for Patients with ...",https://emergency.cdc.gov/coca/calls/2021/callinfo_061721.asp,emergency.cdc.gov,Unknown,"6/10/2021, 11:18:15 PM","1 day ago ... Post-COVID conditions are still being characterized and include symptoms such 
as cognitive difficulties, fatigue, headache, dyspnea, and palpitations. Subject ...",,,,Bot,,,,
Figure - Tuberculosis-Associated Hospitalizations and Deaths after ...,https://wwwnc.cdc.gov/eid/article/27/8/21-0670-f1,wwwnc.cdc.gov,Unknown,,"13 hours ago ... Tuberculosis-Associated Hospitalizations and Deaths after COVID-19 Shelter-In-
Place, San Francisco, California, USA. Janice K. Louie Comments to Author ...",,,,Bot,,,,
Table - Tuberculosis-Associated Hospitalizations and Deaths after ...,https://wwwnc.cdc.gov/eid/article/27/8/21-0670-t1,wwwnc.cdc.gov,Unknown,,"17 hours ago ... Tuberculosis-Associated Hospitalizations and Deaths after COVID-19 Shelter-In-
Place, San Francisco, California, USA. Janice K. Louie Comments to Author ...",,,,Bot,,,,
"MMWR, Impact of the COVID-19 Pandemic on Administration of ...",https://www.cdc.gov/mmwr/volumes/70/wr/pdfs/mm7023a2-H.pdf,CDC,US,,"14 hours ago ... COVID-19 pandemic to reduce the morbidity and mortality from vaccine-
preventable diseases. Health care providers should assess the vaccination 
status of all ...",,,,Bot,,,,
Early Release - Tuberculosis-Associated Hospitalizations and ...,https://wwwnc.cdc.gov/eid/article/27/8/21-0670_article,wwwnc.cdc.gov,Unknown,,"17 hours ago ... Tuberculosis-Associated Hospitalizations and Deaths after COVID-19 Shelter-In-
Place, San Francisco, California, USA. On This Page. Research Letter ...",,,,Bot,,,,
Relevance of prediction scores derived from the SARS-CoV-2 first ...,https://phgkb.cdc.gov/PHGKB/phgHome.action?action=forward&dbsource=cluster&id=38509,phgkb.cdc.gov,Unknown,"1/1/2021, 12:00:00 AM","2 days ago ... Relevance of prediction scores derived from the SARS-CoV-2 first wave, in the 
UK COVID-19 second wave, for early discharge, severity and mortality: a 
PREDICT ...",,,,Bot,,,,
임신부 또는 모유수유부의 COVID-19 백신 접종,https://korean.cdc.gov/coronavirus/2019-ncov/vaccines/recommendations/pregnancy.html,korean.cdc.gov,Unknown,"6/8/2021, 5:00:00 PM","3일 전 ... 임신 중 또는 모유 수유 중인 분들도 COVID-19 백신을 접종받을 수 있으나, 결정
하기 전에 고려할 사항이 많습니다.",,,,Bot,,,,
Recomendaciones para la duración de la cuarentena en centros ...,https://espanol.cdc.gov/coronavirus/2019-ncov/community/quarantine-duration-correctional-facilities.html,espanol.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","Hace 3 días ... Se aclara que las personas encarceladas/detenidas totalmente vacunadas que 
no tienen los síntomas del COVID-19 no necesitan hacer cuarentena luego de ...",,,,Bot,,,,
